"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.82068e+003,-9.71792e+001,-4.65478e-001,2.82743e-001,8.92374e+000,1.15213e+001,7.27334e-001,1,4.80000e+002,-1.52000e+003,6.50000e+001,6.50000e+001
-7.82067e+003,-9.71713e+001,-4.64308e-001,2.80320e-001,8.92571e+000,1.15076e+001,7.28412e-001,1,4.84000e+002,-1.51600e+003,6.50000e+001,6.50000e+001
-7.82067e+003,-9.71634e+001,-4.63139e-001,2.77897e-001,8.92769e+000,1.14939e+001,7.29490e-001,1,4.88000e+002,-1.51200e+003,6.50000e+001,6.50000e+001
-7.82066e+003,-9.71555e+001,-4.61969e-001,2.75475e-001,8.92966e+000,1.14803e+001,7.30567e-001,1,4.92000e+002,-1.50800e+003,6.50000e+001,6.50000e+001
-7.82065e+003,-9.71476e+001,-4.60800e-001,2.73052e-001,8.93163e+000,1.14666e+001,7.31645e-001,1,4.96000e+002,-1.50400e+003,6.50000e+001,6.50000e+001
-7.82064e+003,-9.71397e+001,-4.59631e-001,2.70629e-001,8.93361e+000,1.14529e+001,7.32723e-001,1,5.00000e+002,-1.50000e+003,6.50000e+001,6.50000e+001
-7.82063e+003,-9.71318e+001,-4.58461e-001,2.68207e-001,8.93558e+000,1.14393e+001,7.33800e-001,1,5.04000e+002,-1.49600e+003,6.50000e+001,6.50000e+001
-7.82062e+003,-9.71238e+001,-4.57292e-001,2.65784e-001,8.93756e+000,1.14256e+001,7.34878e-001,1,5.08000e+002,-1.49200e+003,6.50000e+001,6.50000e+001
-7.82061e+003,-9.71159e+001,-4.56122e-001,2.63361e-001,8.93953e+000,1.14119e+001,7.35956e-001,1,5.12000e+002,-1.48800e+003,6.50000e+001,6.50000e+001
-7.82060e+003,-9.71080e+001,-4.54953e-001,2.60939e-001,8.94150e+000,1.13982e+001,7.37033e-001,1,5.16000e+002,-1.48400e+003,6.50000e+001,6.50000e+001
-7.82059e+003,-9.71001e+001,-4.53784e-001,2.58516e-001,8.94348e+000,1.13846e+001,7.38111e-001,1,5.20000e+002,-1.48000e+003,6.50000e+001,6.50000e+001
-7.82058e+003,-9.70922e+001,-4.52614e-001,2.56093e-001,8.94545e+000,1.13709e+001,7.39189e-001,1,5.24000e+002,-1.47600e+003,6.50000e+001,6.50000e+001
-7.82057e+003,-9.70843e+001,-4.51445e-001,2.53671e-001,8.94742e+000,1.13572e+001,7.40266e-001,1,5.28000e+002,-1.47200e+003,6.50000e+001,6.50000e+001
-7.82060e+003,-9.70779e+001,-4.50535e-001,2.51302e-001,8.94982e+000,1.13455e+001,7.41326e-001,1,5.32000e+002,-1.46800e+003,6.50000e+001,6.50000e+001
-7.82068e+003,-9.70730e+001,-4.49885e-001,2.48987e-001,8.95263e+000,1.13356e+001,7.42366e-001,1,5.36000e+002,-1.46400e+003,6.50000e+001,6.50000e+001
-7.82076e+003,-9.70681e+001,-4.49235e-001,2.46672e-001,8.95543e+000,1.13258e+001,7.43407e-001,1,5.40000e+002,-1.46000e+003,6.50000e+001,6.50000e+001
-7.82084e+003,-9.70632e+001,-4.48585e-001,2.44356e-001,8.95824e+000,1.13160e+001,7.44448e-001,1,5.44000e+002,-1.45600e+003,6.50000e+001,6.50000e+001
-7.82092e+003,-9.70583e+001,-4.47935e-001,2.42041e-001,8.96105e+000,1.13062e+001,7.45488e-001,1,5.48000e+002,-1.45200e+003,6.50000e+001,6.50000e+001
-7.82100e+003,-9.70534e+001,-4.47284e-001,2.39726e-001,8.96386e+000,1.12964e+001,7.46529e-001,1,5.52000e+002,-1.44800e+003,6.50000e+001,6.50000e+001
-7.82108e+003,-9.70485e+001,-4.46634e-001,2.37411e-001,8.96667e+000,1.12866e+001,7.47570e-001,1,5.56000e+002,-1.44400e+003,6.50000e+001,6.50000e+001
-7.82116e+003,-9.70436e+001,-4.45984e-001,2.35096e-001,8.96948e+000,1.12768e+001,7.48611e-001,1,5.60000e+002,-1.44000e+003,6.50000e+001,6.50000e+001
-7.82106e+003,-9.70361e+001,-4.45086e-001,2.32126e-001,8.97537e+000,1.12666e+001,7.49838e-001,1,5.64000e+002,-1.43600e+003,6.50000e+001,6.50000e+001
-7.82096e+003,-9.70285e+001,-4.44187e-001,2.29157e-001,8.98126e+000,1.12564e+001,7.51066e-001,1,5.68000e+002,-1.43200e+003,6.50000e+001,6.50000e+001
-7.82085e+003,-9.70209e+001,-4.43289e-001,2.26187e-001,8.98715e+000,1.12462e+001,7.52293e-001,1,5.72000e+002,-1.42800e+003,6.50000e+001,6.50000e+001
-7.82075e+003,-9.70134e+001,-4.42391e-001,2.23218e-001,8.99304e+000,1.12360e+001,7.53520e-001,1,5.76000e+002,-1.42400e+003,6.50000e+001,6.50000e+001
-7.82065e+003,-9.70058e+001,-4.41492e-001,2.20249e-001,8.99893e+000,1.12258e+001,7.54748e-001,1,5.80000e+002,-1.42000e+003,6.50000e+001,6.50000e+001
-7.82055e+003,-9.69982e+001,-4.40594e-001,2.17279e-001,9.00483e+000,1.12156e+001,7.55975e-001,1,5.84000e+002,-1.41600e+003,6.50000e+001,6.50000e+001
